evid,mean_arrival_time,grade,Regolith_Temp_K,Rock_Temp_K,interval_day_number,diurnal_interval,PGV_geo1,PGV_geo2,PGV_geo3,PGV_geo4,PGV_mean_124,PGV_mean_123,PGV_mean_234,PGV_mean_134
761107-14-N1,1976-11-07T14:34:49.000000,D,365.39623703703705,355.2566962962963,25.29501157407408,sunset3,0.0040297784127976,0.0066493897630908,0.0048067554654227,0.0052858058383057,0.0053216580047313,0.0051619745471037,0.0055806503556064,0.0047074465721753
761107-14-N3,1976-11-07T14:57:29.000000,D,365.15684444444446,355.1156592592593,25.310752314814813,sunset3,0.004149912813113,0.0036835216056508,0.0048681239750007,0.0047489868867318,0.0041941404351652,0.0042338527979215,0.0044335441557944,0.0045890078916151
761107-15-M1,1976-11-07T15:25:07.776876,A,364.8519507776,354.9413005184,25.32995112125,sunset3,0.0058778487242761,0.004894146942266,0.0065774971784797,0.0068995939107442,0.0058905298590954,0.0057831642816739,0.0061237460104966,0.0064516466045
761107-15-M2,1976-11-07T15:32:42.000000,B,364.7712,354.8874666666667,25.33520833333333,sunset3,0.0065672453692577,0.0072851856780397,0.0074094539683423,0.0074756253831474,0.0071093521434816,0.0070872950052132,0.0073900883431764,0.0071507749069158
761107-15-M3,1976-11-07T15:44:48.333333,B,364.64207407413335,354.8112098765778,25.343614969131945,sunset3,0.0069936382105636,0.0062702714721819,0.007679040045079,0.0060212572136033,0.0064283889654496,0.0069809832426081,0.0066568562436214,0.0068979784897486
761107-15-M4,1976-11-07T15:53:28.500000,C,364.5496,354.7572666666667,25.34963541666667,sunset3,0.0042027534074371,0.0045798233561775,0.0047573942021973,0.0040208260883817,0.0042678009506654,0.0045133236552706,0.0044526812155855,0.004326991232672
761107-16-M1,1976-11-07T16:23:54.201623,A,364.22045005779256,354.55793464650367,25.370766222488427,sunset3,0.0113865481141007,0.0083758110638403,0.010984998500978,0.0097011878386561,0.0098211823388656,0.0102491192263063,0.0096873324678248,0.0106909114845782
761107-16-M2,1976-11-07T16:31:59.531693,A,364.1287499212444,354.5076041207259,25.37638346866898,sunset3,0.0042314099302773,0.0035065251281046,0.0046227949585045,0.0055285162313087,0.0044221504298968,0.0041202433389621,0.0045526121059726,0.0047942403733635
761107-16-M3,1976-11-07T16:45:40.529760,A,363.98279470933335,354.41852980622224,25.38588576111111,sunset3,0.0094900537265249,0.0083806598966418,0.0098700391794208,0.0090234982468924,0.0089647372900197,0.0092469176008624,0.0090913991076516,0.009461197050946
761107-21-M3,1976-11-07T21:11:57.666667,B,360.9511506172148,352.5949432098371,25.57080632716435,sunset3,0.0051009983041221,0.0048509827762628,0.0054668690364735,0.0048535012639071,0.0049351607814306,0.0051396167056194,0.0050571176922144,0.0051404562015009
761107-21-M1,1976-11-07T21:34:37.000000,C,360.6799851851852,352.43383703703705,25.58653935185185,sunset3,0.002392057849941,0.0020472470641649,0.0031855995291153,0.0022825981898001,0.0022406343679686,0.002541634814407,0.0025051482610267,0.0026200851896187
761107-21-M2,1976-11-07T21:44:24.666667,B,360.5668049382074,352.3641876542815,25.593341049386574,sunset3,0.004188073590703,0.0044783382760222,0.0045178831797222,0.0044578864617131,0.0043747661094794,0.0043947650154824,0.0044847026391524,0.0043879477440461
761107-21-N1,1976-11-07T21:56:57.000000,D,360.4119111111111,352.2750222222222,25.602048611111112,sunset3,0.0030290719590376,0.0032906187759163,0.0037316573561899,0.0042111143261047,0.0035102683536862,0.0033504493637146,0.0037444634860703,0.0036572812137774
761108-00-N1,1976-11-08T00:13:55.000000,D,358.7491851851852,351.26866666666666,25.697164351851853,sunset3,0.0036590900942911,0.0021187896278842,0.0038959172909087,0.0028644564807301,0.0028807787343018,0.0032245990043613,0.0029597211331743,0.0034731546219766
761108-00-N3,1976-11-08T00:18:38.000000,D,358.69468148148144,351.2309333333333,25.70043981481481,sunset3,0.0035932319485054,0.0031991615938729,0.0033989479160643,0.0039504074383204,0.0035809336602328,0.0033971138194808,0.0035161723160858,0.0036475291009633
761108-00-N2,1976-11-08T00:34:28.000000,D,358.5010814814815,351.11426666666665,25.711435185185184,sunset3,0.0031152853561526,0.0029003515144537,0.0035551936718189,0.0033096469807917,0.003108427950466,0.003190276847475,0.003255064055688,0.0033267086695877
761108-00-M1,1976-11-08T00:47:05.109019,A,358.344051462726,351.0151722644148,25.720198021053243,sunset3,0.0043494831202155,0.0068549224730366,0.0048452831239058,0.0054229055355751,0.0055424370429424,0.0053498962390526,0.0057077037108391,0.0048725572598988
761108-00-M2,1976-11-08T00:49:27.000000,C,358.3146222222222,350.9983555555555,25.721840277777776,sunset3,0.0032018982979189,0.0034263009594963,0.0039601243655205,0.0038578415464506,0.0034953469346219,0.0035294412076452,0.0037480889571558,0.0036732880699633
761108-02-M3,1976-11-08T02:41:08.000000,B,356.8947851851852,350.1409333333333,25.79939814814815,sunset3,0.01096924790017,0.0068311297803491,0.0083650686755139,0.0115988007525136,0.0097997261443442,0.0087218154520109,0.0089316664027922,0.0103110391093991
761108-02-M1,1976-11-08T02:44:46.333333,B,356.84950123463705,350.11182222226665,25.80192515431713,sunset3,0.0058360301576049,0.0071705567858471,0.0054081917296052,0.0055602725317209,0.0061889531583909,0.0061382595576857,0.0060463403490577,0.0056014981396436
761108-02-N1,1976-11-08T02:48:56.000000,D,356.7975555555556,350.0785333333333,25.80481481481481,sunset3,0.0109295936705338,0.0122546824823845,0.0097220823057546,0.0083785048493363,0.0105209270007515,0.0109687861528909,0.0101184232124917,0.0096767269418749
761108-02-M2,1976-11-08T02:52:14.787513,A,356.75338055266667,350.0520283316,25.80711559621528,sunset3,0.0054897127168717,0.0066951618188206,0.005839662738061,0.0071755697303405,0.0064534814220109,0.006008179091251,0.006570131429074,0.0061683150617577
761108-03-N1,1976-11-08T03:02:19.000000,D,356.62117037037035,349.9714666666667,25.814108796296296,sunset3,0.0035077209768949,0.0028775392822131,0.0032751868924742,0.0034337673520338,0.0032730092037139,0.0032201490505274,0.0031954978422403,0.0034055584071342
